Name,Review,Module Code,Semester,Title,Grade,BBA / BZA,Module Credit,Description
BSP3701A,"Did with a chill group and with the help of AI for the group project to propose a product/service. Project was basically a start-up/business venture pitch for a business and final exam was quite simple including basic econometrics, and other internal/external “strategic” moves taught in the course.",BSP,Y4S2,Strategic Management,A-,BBA,4,"This is the integrative capstone course for undergraduate business students. It focuses on the roles, issues and dilemmas facing top managers. It examines the concept of strategy and the different aspects of managing strategically. There are three main learning objectives: Firstly, for students to understand the roots of success and failure in firms, as relating both for firm characteristics and to their micro and macro environments. Secondly, for students to appreciate some of the pressing issues facing corporations in fast-paced environments. Thirdly, through the case method, students have an opportunity, in a simulated managerial role, to apply holistically what has been learnt in the functional business disciplines to complex business problems. Major topics include industry analysis, strategy formulation at the corporate, business and functional levels, firm diversification, strategic alliances, corporate governance, firm resources, core competencies, and the role of structure, culture, rewards, and control in strategy implementation. This course is targeted at all the final year business students."
BT4221,,BT,Y4S2,Advanced Analytics with Big Data Technologies,B+,BZA,4,"This course introduces students to key concepts in Big Data technologies, covering both foundational and emerging tools and practices. It explores the characteristics and challenges of handling large datasets in different environments. Students will develop practical skills in building and automating data pipelines, managing various forms of data processing, and applying advanced analytical techniques to derive business insights across diverse contexts. The course covers essential topics such as data storage, distributed processing and data streaming. By the end of the course, students will be equipped to apply advanced analytics using Big Data technologies to design and implement effective solutions."
CS2106,"Learnt Basic Concurrency with Mutexes and Atomic moves (which I already knew beforehand due to Rust) and basic operating systems stuff like file systems and stack/heap, ….",CS,Y4S2,Introduction to Operating Systems,A-,BZA,4,"This course introduces the basic concepts in operating systems and links it with contemporary operating systems (eg. Unix/Linux and Windows). It focuses on OS structuring and architecture, processes, memory management, concurrency and file systems. Topics include kernel architecture, system calls, interrupts, models of processes, process abstraction and services, scheduling, review of physical memory and memory management hardware, kernel memory management, virtual memory and paging, caches, working set, deadlock, mutual exclusion, synchronisation mechanisms, data and metadata in file systems, directories and structure, file system abstraction and operations, OS protection mechanisms, and user authentication."
CS3210,"Learnt Parallel Programming via Trial by Fire. Questionable methods of “Trial by Fire” projects - 3 throughout the semester - that I did without a partner as I didn’t really care too much about the grade during my last semester. Paid for it with the only naked B I got throughout my whole course of study. But, content including GPU Programming and Programming across computer nodes was interesting and definitely reframed my perspective on the various forms of parallel programming available.",CS,Y4S2,Parallel Computing,B,BZA,4,"The aim of this course is to provide an introduction to the field of parallel computing with hands-on parallel programming experience on real parallel machines. The course is divided into four parts: parallel computation models and parallelism, parallel architectures, parallel algorithm design and programming, and new parallel computing models. Topics includes: theory of parallelism and models; shared-memory architectures; distributed-memory architectures; data parallel architectures; interconnection networks, topologies and basic of communication operations; principles of parallel algorithm design; performance and scalability of parallel programs, overview of new parallel computing models such as grid, cloud, GPGPU."
FIN3712,"Taught a little more content than I expected, given I already read up beforehand on Options and Futures and their pricing. Additional content taught on top of that were things like repo rate, futures on options (and options on futures?) and everything in between. Can be a little interesting if one bothers to listen; however, given it was my last semester and only a fraction of the content was new to me, I didn’t really try too hard, as is evident with an A- instead of an A.",FIN,Y4S2,Options and Futures,A-,BBA,4,"This course is an introduction to basic financial derivatives with an emphasis on forward, futures, and option contracts. Topics to be covered include the structure of forward, futures and options markets, the pricing of futures and options contracts, and the applications of futures and options in hedging and speculation. The approach will cover both the theoretical and applied issues in financial derivatives. Key concepts and theories will be illustrated by examples of derivatives usages in practice and the implementation of hedging strategies."
FIN3716,"Financial Modelling module, but didn’t learn too much as Professor focused a lot on VBA and excel worksheets. With final exams that are done completely with VBA Macros, one would start to wonder what one needs to learn the content for if he can answer the questions mindlessly just by understanding what the VBA Macro does at a surface level. If you already know how to code, this module should be a breeze.",FIN,Y4S2,Financial Modelling,A,BBA,4,"The objective of this course is to provide students with an understanding of the theories and methodologies of financial modelling. It trains students to apply finance theories to solve various problems in financial management, investments, portfolio management, and risk management. This objective is achieved by teaching students how to design and implement financial models in the computer, with Excel as the main tool. It covers four classes of models: Corporate Finance models, Portfolio Models, Option-Pricing Models and Bond Models. It also covers simulation, some numerical methods, and VBA programming as well."
MNO2705D,"Interesting Professor (taught this module for the first time this semester) who constantly reassured the class not to be too caught up with grades. Well, I scored around a 91/100 for the Final Exam, a pretty average/bad group project score (not very sure about this) and what I would assume is a bad participation score and got a B+. Do with that what you will, the course only seemed averagely interesting because the professor had interesting connections/network rather than the course content itself actually being interesting.",MNO,Y4S2,Leadership and Decision Making under Uncertainty,B+,BZA,4,"The decisions you make every day will shape your life. In the workplace, the decisions you make will impact outcomes for you, your team, and cumulatively affect the trajectory ofyour career. This course will help you navigate the pathways of decision making in organisations. We will adopt an evidence-based approach, tapping several streams of research– including social psychology, behavioural economics, and management – to identify key anchors for effective decision making. These conceptual tools will empower you to makegood decisions in an uncertain world, to influence, and to lead. This course addresses the foundations for decision making in modern organisations, where the requirements of speed, global reach, complexity and change that our organisations face also create conditions for unsafe and unethical business practices to persist. Reports of insider trading, graft and cronyism, unsafe products, unfair employment practices and environmental waste are commonplace in the media. Thus, our concern is with anchors for morally decent or ethical decision making."
BT4222,"Professor loves AIAIAIAIAAIAIAIAIAI. Never went for a single lecture because going for 2 lectures for tasting left me with the very heavy opinion that the lecturer proceeds at a snail’s pace. Content isn’t much, because every other BT module already covers some form of LSTM, Deep Learning, Gradient Boosting, Random Forest, whatever… . Only interesting content was probably AWS related Snowflake stuff, Data Lakes. PySpark was there but Professor spent way too long on it. There was also AI incorporated, but felt very surface-level with non-inspiring examples. Anyway, had a much more fun and interesting time with the other CS modules this semester so didn’t have as much energy to spend here (so take my review with a BIG pinch of salt). Also, thx to my group mates.",BT,Y4S1,Mining Web Data for Business Insights,B+,BZA,4,"The World Wide Web inundates us with vast amounts of interconnected, dynamic hypertext information, influencing communication and business operations profoundly. This course teaches concepts, methods, and analytics skills to derive insights from unstructured web data across a broad range of business domains, e.g., e-commerce, social media, finance, healthcare, and entertainment. Methods include data extraction via Application Programming Interfaces (APIs), natural language processing, text feature engineering, supervised machine learning, unsupervised machine learning and large language models (LLMs). Students will be equipped with skills to extract patterns from unstructured data, and analyse online transaction data, user behaviour data, and user-generated content."
CS1231,"Interesting introduction to Discrete Mathematics - felt as though I was learning a new language (I guess the language of mathematics and proofs). Was interesting but as many other state, more of learning a new language than it is new content? - proofs were proofs one would have been able to think of in layman terms for the most part as well.",CS,Y4S1,Discrete Structures,A-,BZA,4,"This course introduces mathematical tools required in the study of computer science. Topics include: (1) Logic and proof techniques: propositions, conditionals, quantifications. (2) Relations and Functions: Equivalence relations and partitions. Partially ordered sets. Well-Ordering Principle. Function equality. Boolean/identity/inverse functions. Bijection. (3) Mathematical formulation of data models (linear model, trees, graphs). (4) Counting and Combinatoric: Pigeonhole Principle. Inclusion-Exclusion Principle. Number of relations on a set, number of injections from one finite set to another, Diagonalisation proof: An infinite countable set has an uncountable power set; Algorithmic proof: An infinite set has a countably infinite subset. Subsets of countable sets are countable."
CS2100,"Very interesting introduction to Computer Architecture - how Assembly is compiled to Binary and how that Binary is literally translated to electronic logic gates to fire electrons in patterns that run full programs and logic. Vastly interesting to see how all that code works under the hood, but also a boatload of content all jammed in at once, coupled with good old pipelining of the stages of the ID, EX, MEM, WB stages to speed everything up (and make life a living hell). Also, could never produce the correct answer for truth tables LOL.",CS,Y4S1,Computer Organisation,A-,BZA,4,"The objective of this course is to familiarise students with the fundamentals of computing devices. Through this course students will understand the basics of data representation, and how the various parts of a computer work, separately and with each other. This allows students to understand the issues in computing devices, and how these issues affect the implementation of solutions. Topics covered include data representation systems, combinational and sequential circuit design techniques, assembly language, processor execution cycles, pipelining, memory hierarchy and input/output systems."
